,Name,OnTerritoryOfMoscow,AdmArea,District,Longitude_WGS84,Latitude_WGS84,VestibuleType,NameOfStation,Line,CulturalHeritageSiteStatus,ModeOnEvenDays,ModeOnOddDays,FullFeaturedBPAAmount,LittleFunctionalBPAAmount,BPAAmount,RepairOfEscalators,ObjectStatus,global_id,geoData,x,y
935,"Окская, вход-выход 1 в вестибюль",да,Юго-Восточный административный округ,Рязанский район,37.78048645,55.7187253,подземный,Окская,Некрасовская линия,не является объектом культурного наследия,"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:41:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:17:00, по 2 пути в 01:15:00","открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:41:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:17:00, по 2 пути в 01:15:00",6,,6,[],действует,1032991458,"{'coordinates': [37.78048645, 55.7187253], 'type': 'Point'}",37.78048645,55.7187253
936,"Окская, вход-выход 2 в вестибюль",да,Юго-Восточный административный округ,Рязанский район,37.78106045,55.7190917,подземный,Окская,Некрасовская линия,не является объектом культурного наследия,"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:41:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:17:00, по 2 пути в 01:15:00","открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:41:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:17:00, по 2 пути в 01:15:00",6,,6,[],действует,1032991459,"{'coordinates': [37.78106045, 55.7190917], 'type': 'Point'}",37.78106045,55.7190917
937,"Окская, вход-выход 3 в вестибюль",да,Юго-Восточный административный округ,Рязанский район,37.78131257,55.7194671,подземный,Окская,Некрасовская линия,не является объектом культурного наследия,"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:41:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:17:00, по 2 пути в 01:15:00","открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:41:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:17:00, по 2 пути в 01:15:00",6,,6,[],действует,1032991460,"{'coordinates': [37.78131257, 55.7194671], 'type': 'Point'}",37.78131257,55.7194671
938,"Окская, вход-выход 4 в вестибюль",да,Юго-Восточный административный округ,Рязанский район,37.78217712,55.7186004,подземный,Окская,Некрасовская линия,не является объектом культурного наследия,"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:41:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:17:00, по 2 пути в 01:15:00","открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:41:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:17:00, по 2 пути в 01:15:00",6,,6,[],действует,1032991461,"{'coordinates': [37.78217712, 55.7186004], 'type': 'Point'}",37.78217712,55.7186004
939,"Стахановская, вход-выход 1 в вестибюль",да,Юго-Восточный административный округ,Рязанский район,37.75292723,55.7274658,подземный,Стахановская,Некрасовская линия,не является объектом культурного наследия,"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:44:00, по 2 пути в 05:44:00; последний поезд по 1 пути в 01:20:00, по 2 пути в 01:12:00","открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:44:00, по 2 пути в 05:44:00; последний поезд по 1 пути в 01:20:00, по 2 пути в 01:12:00",5,,5,[],действует,1032991462,"{'coordinates': [37.75292723, 55.7274658], 'type': 'Point'}",37.75292723,55.7274658
940,"Стахановская, вход-выход 2 в вестибюль",да,Юго-Восточный административный округ,Рязанский район,37.75149493,55.7271873,подземный,Стахановская,Некрасовская линия,не является объектом культурного наследия,"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:44:00, по 2 пути в 05:44:00; последний поезд по 1 пути в 01:20:00, по 2 пути в 01:12:00","открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:44:00, по 2 пути в 05:44:00; последний поезд по 1 пути в 01:20:00, по 2 пути в 01:12:00",5,0,5,[],действует,1032991463,"{'coordinates': [37.75149493, 55.7271873], 'type': 'Point'}",37.75149493,55.7271873
941,"Нижегородская, вход-выход 4 в вестибюль номер 1",да,Юго-Восточный административный округ,Нижегородский район,37.729302,55.732024,наземный отдельностоящий,Нижегородская,Московское центральное кольцо,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:31:00, по 2 пути 5:50:00; последний поезд по 1 пути в 22:59:00, по 2 пути в 23:25:00","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:31:00, по 2 пути 5:50:00; последний поезд по 1 пути в 22:59:00, по 2 пути в 23:25:00",9,,9,[],действует,1032991511,"{'coordinates': [37.729302, 55.732024], 'type': 'Point'}",37.729302,55.732024
942,"Лефортово, вход-выход 1 в вестибюль",да,Юго-Восточный административный округ,район Лефортово,37.70492863,55.7644639,подземный,Лефортово,Некрасовская линия,не является объектом культурного наследия,"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 2 пути в 05:51:00; последний поезд по по 2 пути в 01:03:00","открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 2 пути в 05:51:00; последний поезд по по 2 пути в 01:03:00",5,,5,[],действует,1032991592,"{'coordinates': [37.70492863, 55.7644639], 'type': 'Point'}",37.70492863,55.7644639
943,"Фонвизинская, вход-выход 4 в 1-й вестибюль",да,Северо-Восточный административный округ,Бутырский район,37.589056,55.821730,подземный,Фонвизинская,Люблинско-Дмитровская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:49:00, по 2 пути в 05:58:00; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:52:00","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:49:00, по 2 пути в 05:58:00; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:52:00",0,3,3,[],действует,1034720951,"{'coordinates': [37.589056, 55.82173], 'type': 'Point'}",37.589056,55.82173
944,"Фонвизинская, вход-выход 1 во 2-й вестибюль",да,Северо-Восточный административный округ,Бутырский район,37.586074,55.823595,подземный,Фонвизинская,Люблинско-Дмитровская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:49:00, по 2 пути в 05:58:00; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:52:00","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:49:00, по 2 пути в 05:58:00; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:52:00",0,3,3,[],действует,1034721000,"{'coordinates': [37.586074, 55.823595], 'type': 'Point'}",37.586074,55.823595
945,"Фонвизинская, вход-выход 2 во 2-й вестибюль",да,Северо-Восточный административный округ,Бутырский район,37.586546,55.824017,подземный,Фонвизинская,Люблинско-Дмитровская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:49:00, по 2 пути в 05:58:00; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:52:00","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:49:00, по 2 пути в 05:58:00; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:52:00",0,3,3,[],действует,1034721026,"{'coordinates': [37.586546, 55.824017], 'type': 'Point'}",37.586546,55.824017
946,"Ховрино, вход-выход 2 во 2-й вестибюль",да,Северный административный округ,район Ховрино,37.4800019,55.8785425,подземный,Ховрино,Замоскворецкая линия,не является объектом культурного наследия,открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 2 пути в 05:40:30; последний поезд по 2 пути в 01:03:00,открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 2 пути в 05:40:30; последний поезд по 2 пути в 01:03:00,,4,4,[],действует,1034721029,"{'coordinates': [37.4800019, 55.8785425], 'type': 'Point'}",37.4800019,55.8785425
947,"Ховрино, вход-выход 3 во 2-й вестибюль",да,Северный административный округ,район Ховрино,37.4802943,55.8780027,подземный,Ховрино,Замоскворецкая линия,не является объектом культурного наследия,открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 2 пути в 05:40:30; последний поезд по 2 пути в 01:03:00,открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 2 пути в 05:40:30; последний поезд по 2 пути в 01:03:00,,4,4,[],действует,1034721036,"{'coordinates': [37.4802943, 55.8780027], 'type': 'Point'}",37.4802943,55.8780027
948,"Хорошёво, вход-выход 2",да,Северо-Западный административный округ,район Хорошёво-Мнёвники,37.506481,55.777711,наземный отдельностоящий,Хорошёво,Московское центральное кольцо,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:06:00, по 2 пути 5:38:00; последний поезд по 1 пути в 23:34:00, по 2 пути в 22:58:00","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:06:00, по 2 пути 5:38:00; последний поезд по 1 пути в 23:34:00, по 2 пути в 22:58:01",0,3,3,[],действует,1034721044,"{'coordinates': [37.506481, 55.777711], 'type': 'Point'}",37.506481,55.777711
949,"Хорошёвская, вход-выход 5 во 2-й вестибюль",да,Северный административный округ,Хорошёвский район,37.520828,55.777926,подземный,Хорошёвская,Большая кольцевая линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд в сторону станции «Рассказовка» по 1 пути 05:45:15, по 2 пути 05:41:00, в сторону станции метро «Деловой Центр» по 1 пути в 05:50:15; последний поезд в сторону станции «Рассказовка» по 1 пути 01:11:20, по 2 пути 01:41:20, в сторону станции метро «Деловой Центр» по 1 пути 01:13:20","открытие в 05:30:00; закрытие в 01:00:00; первый поезд в сторону станции «Рассказовка» по 1 пути 05:45:15, по 2 пути 05:41:00, в сторону станции метро «Деловой Центр» по 1 пути в 05:50:15; последний поезд в сторону станции «Рассказовка» по 1 пути 01:11:20, по 2 пути 01:41:20, в сторону станции метро «Деловой Центр» по 1 пути 01:13:20",,3,3,[],действует,1034721055,"{'coordinates': [37.520828, 55.777926], 'type': 'Point'}",37.520828,55.777926
950,"Шелепиха, вход-выход 3",да,Центральный административный округ,Пресненский район,37.52595206,55.75659421,наземный отдельностоящий,Шелепиха,Московское центральное кольцо,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:00, по 2 пути 5:41:00; последний поезд по 1 пути в 23:30:00, по 2 пути в 23:01:00","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:00, по 2 пути 5:41:00; последний поезд по 1 пути в 23:30:00, по 2 пути в 23:01:00",,2,2,[],действует,1034721184,"{'coordinates': [37.52595206, 55.75659421], 'type': 'Point'}",37.52595206,55.75659421
