ID точки,Город,Область,Тип Пункта,Название пункта приема/выдачи,Адрес пункта приема/выдачи,Метро,"Макс. габариты 1 места, см","Макс. размер коробки, см","Макс. вес 1 места, кг",Способы оплаты,Время работы,График обслуживания,Услуга по приему возвратов,Широта,Долгота,Временное закрытие точки,x,y
7701-087,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-087: ТЦ Зиг-Заг,"127411, Лобненская ул., д. 4 А",метро Алтуфьево,63.6x61.8x55.5,XXL,15 кг,Карта,Ежедневно: 10-21,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.889755,37.538422,Нет,4178758.022223018,7536500.224964351
7701-086,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-086: ТЦ Перовский,"111558, Свободный пр-кт, д. 33",метро Новогиреево,62.9x40.5x35.8,XXL,15 кг,Карта,Ежедневно: 10-22,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.752784,37.819296,Нет,4210024.772880089,7509358.529709485
5001-171,Красноармейск,Московская обл.,Постамат,Постамат: PickPoint: 5001-171: ТЦ Центральный,"141290, Новая Жизнь ул., д. 2",,62.9x40.5x35.8,XXL,15 кг,Карта,Ежедневно: 10-20,"Пн, Ср, Пт",Да,56.102801,38.136668,Нет,4245354.46231213,7578907.705424731
5001-172,Кашира,Московская обл.,Постамат,Постамат: PickPoint: 5001-172: ТД Леско,"142900, Стрелецкая ул., д. 70",,62.9x40.5x35.8,XXL,15 кг,Карта,Пн-Сб: 9-19; Вс: 10-17,"Пн, Ср, Пт",Да,54.825856,38.147812,Нет,4246595.006717531,7328141.403137561
5001-174,Зарайск,Московская обл.,Постамат,Постамат: PickPoint: 5001-174: ТК Вертикаль,"140600, Мерецкова ул., д. 23",,62.9x40.5x35.8,XXL,15 кг,Карта,Ежедневно: 9-21,"Пн, Ср, Пт",Да,54.759576,38.880397,Нет,4328145.995880322,7315343.840767352
5001-043,Люберцы,Московская обл.,Постамат,Постамат: PickPoint: 5001-043: ТЦ АЙС,"398002, Комсомольский пр-кт, д. 17, к. 1",,63.6x61.8x55.5,XXL,15 кг,Карта,Ежедневно: 10-21,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.694135,37.908345,Нет,4219937.662215738,7497765.986693348
7702-432,Москва,Московская обл.,ПВЗ,ПВЗ: PickPoint: 7702-432,"115477, Пролетарский пр-кт, д. 20, к. 2",метро Кантемировская,180,XXL,31.5 кг,"Карта, Наличные",Пн-Пт: 9-20; Сб-Вс: 10-19,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.633324,37.657973,Нет,4192066.3786668447,7485764.45390648
7705-890,Москва,Московская обл.,Постамат,Постамат: Халва: 7705-890,"107078, Хоромный тупик ул., д. 2/6",метро Красные ворота,45.7x42.7x32.1,L,15 кг,Карта,Ежедневно: 10-21,"Пн, Вт, Ср, Чт, Пт, Сб",Нет,55.767924,37.648412,Нет,4191002.05301537,7512353.927397624
5005-680,Солнечногорск,Московская обл.,Постамат,Постамат: Халва: 5005-680: Магнит,"141508, Красноармейская ул., д. 17",,45.7x42.7x32.1,L,15 кг,Карта,Ежедневно: 8-23,"Пн, Ср, Пт",Нет,56.183959,36.992992,Нет,4118041.032359643,7595124.189599748
5005-679,Нахабино,Московская обл.,Постамат,Постамат: Халва: 5005-679: Магнит,"143433, Школьная ул., д. 1Б",,45.7x42.7x32.1,L,15 кг,Карта,Ежедневно: 8-23,"Пн, Ср, Пт",Нет,55.841326,37.148355,Нет,4135335.9624077585,7526892.779196025
5005-681,Электросталь,Московская обл.,Постамат,Постамат: Халва: 5005-681: Магнит,"144001, Октябрьская ул., д. 13",,45.7x42.7x32.1,L,15 кг,Карта,Ежедневно: 8-22,"Вт, Чт, Сб",Нет,55.801409,38.461152,Нет,4281475.855962696,7518982.95508419
5005-682,Электрогорск,Московская обл.,Постамат,Постамат: Халва: 5005-682: Магнит,"142530, Советская пл., д. 1",,45.7x42.7x32.1,L,15 кг,Карта,Ежедневно: 8-23,"Пн, Ср, Пт",Нет,55.8844,38.78412,Нет,4317428.489265217,7535437.299655122
5005-678,Коммунарка,Московская обл.,Постамат,Постамат: Халва: 5005-678: Фасоль,"108801, Потаповская Роща ул., д. 2, к. 1",,45.7x42.7x32.1,L,15 кг,Карта,Ежедневно: 9-23,"Пн, Вт, Ср, Чт, Пт, Сб",Нет,55.545055,37.494365,Нет,4173853.6194171393,7468376.963217337
7702-838,Москва,Московская обл.,ПВЗ,ПВЗ: PickPoint: 7702-838,"109004, Большой Факельный пер., д. 1",метро Марксистская,180,XXL,31.5 кг,Оплата только на сайте,Ежедневно: 10-19,"Пн, Вт, Ср, Чт, Пт, Сб",Нет,55.743188,37.662686,Нет,4192591.0274269534,7507460.595553001
7702-768,Москва,Московская обл.,ПВЗ,ПВЗ: PickPoint: 7702-768,"121351, Ярцевская ул., д. 4",метро Молодежная,180,XXL,31.5 кг,"Карта, Наличные",Ежедневно: 10-21,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.735255,37.408396,Нет,4164283.594113132,7505891.928380283
5002-610,Зеленоград,Московская обл.,ПВЗ,ПВЗ: Ozon: 5002-610,"124482, к. 353А",,180,XXL,31.5 кг,"Карта, Наличные",Ежедневно: 9-21,"Вт, Чт, Сб",Да,55.993308,37.223949,Нет,4143751.0479947845,7557083.58348325
7705-754,Москва,Московская обл.,Постамат,Постамат: Халва: Продукты: Приорова,"127299, Приорова ул., д. 2А",,45.7x42.7x32.1,L,15 кг,Карта,Ежедневно: 9-23,"Пн, Вт, Ср, Чт, Пт, Сб",Нет,55.818324,37.532492,Нет,4178097.897642614,7522333.786241612
5001-045,Химки,Московская обл.,Постамат,Постамат: PickPoint: 5001-045: ТЦ Атак,"141410, Московская ул., д. 14","метро Планерная, метро Речной вокзал, метро Сходненская",62.9x40.5x35.8,,15 кг,Карта,Ежедневно: 10-22,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.894421,37.44888,Нет,4168790.252378407,7537426.508788371
5002-179,Сергиев Посад,Московская обл.,ПВЗ,ПВЗ: PickPoint: 5002-179,"141304, Красной Армии пр., д. 91Б",,180,XXL,31.5 кг,"Карта, Наличные",Ежедневно: 10-19,"Вт, Чт, Сб",Да,56.301933,38.129387,Нет,4244543.945099665,7618758.2835195605
5001-046,Подольск,Московская обл.,Постамат,Постамат: PickPoint: 5001-046: ТОЦ ПРИЗМА,"142100, Комсомольская ул., д. 5А",,63.6x61.8x55.5,XXL,15 кг,Карта,Ежедневно: 9-20,"Пн, Ср, Пт",Да,55.430384,37.54778,Нет,4179799.7500178623,7445846.933980203
5002-329,Красноармейск,Московская обл.,ПВЗ,ПВЗ: PickPoint: 5002-329: ТЦ Березка,"141292, Северный м-н., д. 17",,180,XXL,31.5 кг,"Карта, Наличные",Ежедневно: 10-19:30 (обед: 14-14:30),"Пн, Ср, Пт",Да,56.119828,38.14249,Нет,4246002.56438753,7582307.0973654
5001-177,Лобня,Московская обл.,Постамат,Постамат: PickPoint: 5001-177: ТЦ Южный,"141730, 40 лет Октября ул., д. 5В.",,62.9x40.5x35.8,XXL,15 кг,Карта,Ежедневно: 9-23,"Пн, Ср, Пт",Да,56.008474,37.485875,Нет,4172908.516940304,7560102.774781837
