Name,AdmArea,District,Address,FacilityArea,ObjectType,Specialization,PeriodOfPlacement,ContractType,ContractStatus,ContractNumber,NameOfBusinessEntity,ContractBegin,ContractEnd,ObjectPhoto,StartDateTrading,EndDateTrading,geoData,global_id,longitude,latitude,x,y
мороженое на Рокотова ул. вл.5,Юго-Западный административный округ,район Ясенево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ясенево, улица Рокотова, дом 5",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003596,АЙС-КРИМ МАРКЕТ,29.08.2016,31.12.2023,,26.01.2017,31.12.2023,"{'coordinates': [37.550099, 55.610276], 'type': 'Point'}",20274247,37.550099,55.610276,4180057.899917011,7481220.6161591215
"Мороженое на ул. Кастанаевская, д.49",Западный административный округ,район Фили-Давыдково,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, Кастанаевская улица, дом 49",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,срок действия договора завершен,НТО-01-02-001854,Островок Радости,08.06.2016,08.06.2021,,16.08.2016,16.08.2021,"{'coordinates': [37.4616389999999, 55.732198], 'type': 'Point'}",20274257,37.4616389999999,55.732198,4170210.577761427,7505287.523936322
Мороженое у корп.2003,Зеленоградский административный округ,район Крюково,"город Москва, город Зеленоград, корпус 2003",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003696,СТРИТ РИТЕЙЛ,26.12.2016,31.12.2023,,17.04.2017,31.12.2023,"{'coordinates': [37.165212, 55.976062], 'type': 'Point'}",20274269,37.165212,55.976062,4137212.47506406,7553651.75245992
Мороженое у корп.2008,Зеленоградский административный округ,район Крюково,"город Москва, город Зеленоград, корпус 2008",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003715,Айс Маркет,26.12.2016,31.12.2023,,14.04.2017,31.12.2023,"{'coordinates': [37.162412, 55.9738169999999], 'type': 'Point'}",20274270,37.162412,55.9738169999999,4136900.78048984,7553205.126031917
"Мороженое на ул. Мурановская, вл. 12",Северо-Восточный административный округ,район Бибирево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бибирево, Мурановская улица, дом 12",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003488,Айс Маркет,22.08.2016,31.12.2023,,30.03.2017,31.12.2023,"{'coordinates': [37.6035787560425, 55.896388595619], 'type': 'Point'}",171673881,37.6035787560425,55.896388595619,4186011.239127412,7537817.144834941
"мороженое на ул. Гостиничная, вл. 6, к. 1",Северо-Восточный административный округ,район Марфино,"город Москва, Гостиничная улица, дом 6, корпус 1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004452,Роза,30.10.2017,31.12.2023,,01.12.2017,31.12.2023,"{'coordinates': [37.5808715211334, 55.8450928318379], 'type': 'Point'}",171674071,37.5808715211334,55.8450928318379,4183483.481300007,7527639.621700009
"Мороженое на ул. Декабристов, вл. 38",Северо-Восточный административный округ,район Отрадное,"город Москва, улица Декабристов, дом 38",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004615,Роза,04.12.2017,04.12.2022,,05.03.2018,05.03.2023,"{'coordinates': [37.6190353217705, 55.8593663837203], 'type': 'Point'}",171674089,37.6190353217705,55.8593663837203,4187731.856153664,7530470.268247916
"мороженое на Инженерная ул, вл.7-9",Северо-Восточный административный округ,Алтуфьевский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алтуфьевский, Инженерная улица, дом 7",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003494,Спутник,14.07.2016,31.12.2023,,27.03.2017,31.12.2023,"{'coordinates': [37.5764659224734, 55.8795896819886], 'type': 'Point'}",171674111,37.5764659224734,55.8795896819886,4182993.052300537,7534482.614450633
"мороженое на ул. Ботаническая, вл. 39б",Северо-Восточный административный округ,район Марфино,"город Москва, Ботаническая улица, дом 39Б",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003443,Айс Маркет,14.11.2016,31.12.2023,,27.11.2016,31.12.2023,"{'coordinates': [37.5840702060692, 55.844685402897], 'type': 'Point'}",171674124,37.5840702060692,55.844685402897,4183839.557278268,7527558.838057047
"мороженое на ул. Яблочкова, вл. 43",Северо-Восточный административный округ,Бутырский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, улица Яблочкова, дом 43",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-002210,ТОРГОВЫЙ РЯД,05.08.2016,31.12.2023,,10.10.2016,31.12.2023,"{'coordinates': [37.5779045302459, 55.8289855139903], 'type': 'Point'}",171674134,37.5779045302459,55.8289855139903,4183153.197385222,7524446.5614992175
"Мороженое на ул. Римского-Корсакова, вл. 20",Северо-Восточный административный округ,район Отрадное,"город Москва, улица Римского-Корсакова, дом 20",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003489,Айс Маркет,14.10.2016,31.12.2023,,20.03.2017,31.12.2023,"{'coordinates': [37.609129233864, 55.8745722390387], 'type': 'Point'}",171674138,37.609129233864,55.8745722390387,4186629.11549216,7533486.947994903
"Мороженое на ул. Енисейская, вл. 11",Северо-Восточный административный округ,Бабушкинский район,"город Москва, Енисейская улица, дом 11",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003410,СТРИТ РИТЕЙЛ,22.08.2016,31.12.2023,,13.03.2017,31.12.2023,"{'coordinates': [37.6608741493641, 55.8650656838676], 'type': 'Point'}",171674172,37.6608741493641,55.8650656838676,4192389.333136771,7531600.810330424
"Мороженое на ул. Бажова, вл. 9",Северо-Восточный административный округ,район Ростокино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ростокино, улица Бажова, дом 9",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003536,СТРИТ РИТЕЙЛ,22.08.2016,31.12.2023,,22.03.2017,31.12.2023,"{'coordinates': [37.6616093887993, 55.8348329817619], 'type': 'Point'}",171674178,37.6616093887993,55.8348329817619,4192471.179616309,7525605.590806531
"мороженое на ул.Минусинская,вл.5",Северо-Восточный административный округ,Лосиноостровский район,"город Москва, Минусинская улица, дом 3",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003591,АЙС-КРИМ МАРКЕТ,19.08.2016,31.12.2023,,24.03.2017,31.12.2023,"{'coordinates': [37.6930000392054, 55.872711858777], 'type': 'Point'}",171674192,37.6930000392054,55.872711858777,4195965.570835186,7533117.804949505
"Мороженое на ул. Мусоргского, 5",Северо-Восточный административный округ,район Отрадное,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Отрадное, улица Мусоргского, дом 5, корпус 1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003375,СТРИТ РИТЕЙЛ,14.11.2016,31.12.2023,,03.03.2017,31.12.2023,"{'coordinates': [37.6210716693225, 55.8628999638905], 'type': 'Point'}",171674194,37.6210716693225,55.8628999638905,4187958.541326231,7531171.187593021
"Мороженое на пр.Мира, д. 89",Северо-Восточный административный округ,Останкинский район,"город Москва, проспект Мира, дом 89",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004992,Айс Маркет,15.01.2018,15.01.2023,,15.01.2018,15.01.2023,"{'coordinates': [37.6356810873335, 55.804687562103], 'type': 'Point'}",171674201,37.6356810873335,55.804687562103,4189584.854300002,7519632.318600013
